Title,Note,URL,Tags,Comment
Takanawa Gateway City,,https://www.google.com/maps/place/Takanawa+Gateway+City/data=!4m2!3m1!1s0x60188beb84eeb89d:0xc7c2a1f47c9f3d09,,
YELLOW HOUSE,,https://www.google.com/maps/place/YELLOW+HOUSE/data=!4m2!3m1!1s0x60188cbb3766cc99:0x44cc62326a45c36a,,
YOU LOOK GOOD,,https://www.google.com/maps/place/YOU+LOOK+GOOD/data=!4m2!3m1!1s0x6001071f7114cad5:0xb42c370b8494abe6,,
SOWGEN,,https://www.google.com/maps/place/SOWGEN/data=!4m2!3m1!1s0x6001098025a2a8b3:0x93a3146f0f2d4d3e,,
pejite青山,,https://www.google.com/maps/place/pejite%E9%9D%92%E5%B1%B1/data=!4m2!3m1!1s0x60188b83c784a00b:0xc03848effb6b1962,,
Sebone,,https://www.google.com/maps/place/Sebone/data=!4m2!3m1!1s0x6018f27d499d0001:0x4104f96498b9deae,,
shop / KLASICA,,https://www.google.com/maps/place/shop+%2F+KLASICA/data=!4m2!3m1!1s0x6018f369080e0a5b:0x7e8d0e4b9768108e,,
SQUASH DAIMYOU,,https://www.google.com/maps/place/SQUASH+DAIMYOU/data=!4m2!3m1!1s0x35419186f60bba5b:0x68038da61e3721c5,,
SOMSOC GALLERY — Apparel & Art,,https://www.google.com/maps/place/SOMSOC+GALLERY+%E2%80%94+Apparel+%26+Art/data=!4m2!3m1!1s0x60188dbba3b148cb:0x7ee688bfbf30ae10,,
Vacant/Centre,,https://www.google.com/maps/place/Vacant%2FCentre/data=!4m2!3m1!1s0x6018f31d4dc313d3:0x763bcf0f5c69cc61,,
Godzilla Statue,,https://www.google.com/maps/place/Godzilla+Statue/data=!4m2!3m1!1s0x60188befcc42d18f:0xcec283469d9e4abf,,
Ella Records,,https://www.google.com/maps/place/Ella+Records/data=!4m2!3m1!1s0x6018f33a3ce9431b:0x5ec80c1ba3538a88,,
Lost Boy Tokyo,,https://www.google.com/maps/place/Lost+Boy+Tokyo/data=!4m2!3m1!1s0x6018f3057de32f51:0xd5f31de014420e84,,
The Barn Owl Vintage Goods,,https://www.google.com/maps/place/The+Barn+Owl+Vintage+Goods/data=!4m2!3m1!1s0x549015e024fe8953:0xe8b3fcae788f64da,,
NEM,,https://www.google.com/maps/place/NEM/data=!4m2!3m1!1s0x6018f3e10f3e014f:0x9ced9e09739af1e5,,
COFFEE COUNTY Tokyo,,https://www.google.com/maps/place/COFFEE+COUNTY+Tokyo/data=!4m2!3m1!1s0x6018f37a076eaf49:0xbde23d6af29bf0fc,,
古道具 熊川,,https://www.google.com/maps/place/%E5%8F%A4%E9%81%93%E5%85%B7+%E7%86%8A%E5%B7%9D/data=!4m2!3m1!1s0x6019200d7458198f:0x2fe23e614db0a4b6,,
P.F.S. PARTS CENTER,,https://www.google.com/maps/place/P.F.S.+PARTS+CENTER/data=!4m2!3m1!1s0x60188b3fea6af547:0xd58f95c920b05c5e,,
Paper message,,https://www.google.com/maps/place/Paper+message/data=!4m2!3m1!1s0x6018ee4c00680f87:0x67fd92dc1880b78c,,
I/O PORT,,https://www.google.com/maps/place/I%2FO+PORT/data=!4m2!3m1!1s0x5ff7af2b86a6e1f7:0x8a2460ad51f922a2,,
CPK GALLERY,,https://www.google.com/maps/place/CPK+GALLERY/data=!4m2!3m1!1s0x60188f788f75daa3:0x48acb09b80a06d77,,
lev.market,,https://www.google.com/maps/place/lev.market/data=!4m2!3m1!1s0x60188d0035a34f3b:0xd4dc1dccd99fa3f1,,
